Player,Team_TransferSite,Age,Position,TransferValue_EUR_Millions,Highest_ETV
Matheus Nunes,Man City,26,"M (CL), D (R)",42.3,48.3
Guglielmo Vicario,Tottenham,28,GK,41.6,41.6
Youri Tielemans,Aston Villa,27,"M, DM (C)",41.5,58.9
Harvey Barnes,Newcastle Utd.,27,"F, AM, M (L)",41.5,44.5
Vitor Reis,Man City,19,D (C),41.4,41.4
Georginio Rutter,Brighton,23,"F, M (C)",41.3,41.4
Emile Smith Rowe,Fulham,24,"AM (C), M (CL)",40.8,41.1
Ian Maatsen,Aston Villa,23,D (L),40.6,52.4
Bilal El Khannouss,Leicester,20,"AM, M (C)",40.6,40.6
Mikel Merino,Arsenal,28,"M, F (C)",40.5,46.2
Marc Cucurella,Chelsea,26,D (L),39.4,57.9
Leon Bailey,Aston Villa,27,"M, AM (R)",39.2,45.0
Mohamed Salah,Liverpool,32,"F (CR), M (R)",38.5,85.6
Nikola Milenković,Nottingham,27,D (C),38.0,54.2
Mykhaylo Mudryk,Chelsea,24,"M, AM (L)",37.8,48.6
Jadon Sancho,Chelsea,25,"M (RL), AM (L)",37.7,108.7
Diogo Dalot,Man Utd,26,"D (R), M (RL)",37.4,51.3
Ferdi Kadıoğlu,Brighton,25,D (L),37.4,37.4
Reece James,Chelsea,25,D (R),37.3,69.4
Cheick Doucouré,C. Palace,25,"DM, M (C)",37.2,42.9
Pervis Estupiñán,Brighton,27,D (L),37.1,60.0
Liam Delap,Ipswich Town,22,"F (C), AM (R)",37.0,37.0
Danilo,Nottingham,24,"DM, M (C)",36.9,39.4
Max Kilman,West Ham United,27,D (C),36.7,45.1
Edson Álvarez,West Ham United,27,"DM, M, D (C)",36.5,40.5
Nathan Aké,Man City,30,D (CL),36.4,40.0
Jean-Clair Todibo,West Ham United,25,D (C),36.0,40.7
Joe Willock,Newcastle Utd.,25,M (C),35.8,41.5
Mason Mount,Man Utd,26,"AM, M (C)",35.5,80.2
Myles Lewis-Skelly,Arsenal,18,"D (L), M (C)",34.9,35.7
Ibrahim Sangaré,Nottingham,27,"DM, M (C)",34.6,35.7
Lewis Hall,Newcastle Utd.,20,D (L),34.5,36.1
André Onana,Man Utd,29,GK,34.2,46.6
Simon Adingra,Brighton,23,"F (L), M (RL)",34.0,34.2
Vitaliy Mykolenko,Everton,25,D (L),33.5,34.7
Nathan Collins,Brentford,24,D (C),33.3,33.3
Matty Cash,Aston Villa,27,D (R),32.9,47.1
Malo Gusto,Chelsea,21,D (R),32.8,38.5
Tyler Dibling,Southampton,19,"AM, M (R)",32.7,32.7
Lucas Bergvall,Tottenham,19,M (C),32.6,32.6
Jarrad Branthwaite,Everton,22,D (C),32.2,33.2
Leandro Trossard,Arsenal,30,F (CL),31.8,31.8
Jean-Philippe Mateta,C. Palace,27,F (C),31.7,31.7
Rodrigo Bentancur,Tottenham,27,"DM, M (C)",31.5,51.9
Patrick Dorgu,Man Utd,20,"D (CL), M (L)",31.5,31.5
Joachim Andersen,Fulham,28,D (C),31.4,49.7
Yoane Wissa,Brentford,28,F (C),31.4,31.4
Daniel Muñoz,C. Palace,28,"D, M (R)",30.9,30.9
Jørgen Strand Larsen,Wolverhampton,25,F (C),30.8,30.8
Facundo Buonanotte,Leicester,20,"AM (C), M (CR)",30.7,31.9
Heung-min Son,Tottenham,32,"F (CL), M (L)",30.7,87.3
Bart Verbruggen,Brighton,22,GK,30.7,34.0
Wesley Fofana,Chelsea,24,D (CR),30.3,52.5
Alex Iwobi,Fulham,29,"F (L), M (RL)",30.3,44.9
Callum Hudson-Odoi,Nottingham,24,M (L),30.2,50.6
Calvin Bassey,Fulham,25,D (CL),29.9,29.9
Taylor Harwood-Bellis,Southampton,23,D (CR),29.9,30.3
André,Wolverhampton,23,"DM, M (C)",29.8,29.8
Yves Bissouma,Tottenham,28,"DM, M (C)",29.8,36.3
Kevin Schade,Brentford,23,"F (CL), M (L)",29.7,29.7
John Stones,Man City,30,D (CR),29.7,69.6
Brajan Gruda,Brighton,20,"F, M (R), AM (C)",29.4,29.4
David Raya,Arsenal,29,GK,28.9,47.8
Mikkel Damsgaard,Brentford,24,"AM, M (C)",28.6,28.6
Benoît Badiashile,Chelsea,24,D (C),28.5,50.2
Lewis Miley,Newcastle Utd.,19,M (C),28.5,35.5
Dango Ouattara,B'mouth,23,"F, M (L), AM (R)",28.5,28.5
Radu Drăguşin,Tottenham,23,D (C),28.4,28.4
Leif Davis,Ipswich Town,25,D (L),28.2,28.6
Conor Bradley,Liverpool,21,D (R),27.9,27.9
Oscar Bobb,Man City,21,"AM (R), M (C)",27.9,29.2
Sander Berge,Fulham,27,"DM, M (C)",27.8,27.9
Maxence Lacroix,C. Palace,25,D (C),27.7,35.9
Alex Scott,B'mouth,21,"M, DM, AM (C)",27.6,27.6
Axel Disasi,Aston Villa,27,D (CR),27.5,38.1
O. Hutchinson,Ipswich Town,21,M (CR),27.4,28.7
Kevin Danso,Tottenham,26,D (C),27.2,27.9
Keane Lewis-Potter,Brentford,24,"F, D, M (L)",27.1,27.3
Vitaly Janelt,Brentford,26,"DM, M (C)",27.1,29.1
Lesley Ugochukwu,Southampton,21,"DM, M (C)",27.0,29.2
Dwight McNeil,Everton,25,"AM (C), M (CL)",27.0,40.4
Evanilson,B'mouth,25,F (C),26.9,33.5
Aaron Wan-Bissaka,West Ham United,27,"D, M (R)",26.9,57.0
Richarlison,Tottenham,27,F (C),26.7,60.1
Luis Guilherme,West Ham United,19,F (R),26.6,30.2
Sepp van den Berg,Brentford,23,D (CR),26.4,28.6
Jarell Quansah,Liverpool,22,D (C),26.2,26.2
Crysencio Summerville,West Ham United,23,"M, AM (L)",25.9,27.1
Igor Thiago,Brentford,23,F (C),25.9,27.6
Filip Jørgensen,Chelsea,23,GK,25.9,27.4
Iliman Ndiaye,Everton,25,"F, M (L), AM (C)",25.7,
Ismaïla Sarr,C. Palace,27,"F (R), AM (L)",25.7,26.0
Matt O'Riley,Brighton,24,M (C),25.6,26.0
Joe Gomez,Liverpool,27,D (CRL),25.3,33.7
Mateo Kovačić,Man City,30,"M, DM (C)",25.3,42.1
Wilson Odobert,Tottenham,20,"F, M (L)",25.1,30.4
Jacob Greaves,Ipswich Town,24,D (CL),25.1,25.5
Igor Júlio,Brighton,27,D (CL),25.0,25.0
Wout Faes,Leicester,27,D (C),25.0,32.6
Michael Kayode,Brentford,20,D (RL),25.0,27.1
Jakub Kiwior,Arsenal,25,D (CL),25.0,36.0
Aaron Hickey,Brentford,22,D (R),24.9,29.0
Robert Sánchez,Chelsea,27,GK,24.9,26.4
Kiernan Dewsbury-Hall,Chelsea,26,"M, DM (C)",24.9,37.9
Julio Enciso,Ipswich Town,21,"AM (C), M (CL)",24.9,25.1
Eddie Nketiah,C. Palace,25,F (C),24.8,33.6
Tyrick Mitchell,C. Palace,25,"M, D (L)",24.6,34.6
Claudio Echeverri,Man City,19,"AM, M (C)",24.4,24.5
Jesper Lindstrøm,Everton,25,"M (R), AM (CR)",24.4,37.1
Marcus Tavernier,B'mouth,26,"M (RL), AM (L)",24.4,24.4
Tyler Adams,B'mouth,26,DM (C),24.4,39.6
Beto,Everton,27,F (C),24.4,24.7
Orel Mangala,Everton,27,"DM, M (C)",24.4,24.4
Tosin Adarabioyo,Chelsea,27,D (C),24.3,24.8
Virgil van Dijk,Liverpool,33,D (C),24.3,52.2
Alisson,Liverpool,32,GK,24.1,71.8
Andrew Robertson,Liverpool,31,D (L),24.0,78.8
Victor Kristiansen,Leicester,22,"D, M (L)",23.9,38.7
Mikey Moore,Tottenham,17,"AM, F (L)",23.7,23.7
Konstantinos Tsimikas,Liverpool,28,D (L),23.6,23.6
Carlos Soler,West Ham United,28,"M (C), AM (R)",23.4,35.7
Neco Williams,Nottingham,24,D (RL),23.4,23.4
Tomáš Souček,West Ham United,30,"DM, M (C)",23.2,34.7
James Garner,Everton,24,"DM, M (C)",23.2,32.0
Takehiro Tomiyasu,Arsenal,26,D (RL),22.9,36.1
Dean Henderson,C. Palace,28,GK,22.7,32.9
Jordan Pickford,Everton,31,GK,22.6,43.5
Mateus Fernandes,Southampton,20,M (C),22.5,22.5
John McGinn,Aston Villa,30,M (CRL),22.5,45.9
J. Philogene,Ipswich Town,23,"F (L), M (RL)",22.3,22.3
Abdul Fatawu Issahaku,Leicester,21,"F, M (R)",21.9,21.9
Kristoffer Ajer,Brentford,27,D (CR),21.5,32.8
Donyell Malen,Aston Villa,26,"F, M (R), AM (L)",21.4,48.8
Yasin Ayari,Brighton,21,"M, DM (C)",21.4,21.5
Chadi Riad,C. Palace,21,D (C),21.4,22.9
Reiss Nelson,Fulham,25,"F (R), M (L)",21.3,21.3
Jean-Ricner Bellegarde,Wolverhampton,26,M (C),21.3,21.3
Sean Longstaff,Newcastle Utd.,27,M (C),21.3,26.4
Federico Chiesa,Liverpool,27,F (CR),21.2,57.0
Caoimhín Kelleher,Liverpool,26,GK,20.9,20.9
Fábio Carvalho,Brentford,22,"AM, M, F (C)",20.6,25.4
Marcos Senesi,B'mouth,27,D (C),20.4,20.4
Ben Chilwell,C. Palace,28,"D, M (L)",20.4,48.8
Wilfred Ndidi,Leicester,28,"DM, M (C)",20.3,46.5
Taiwo Awoniyi,Nottingham,27,F (C),20.2,31.2
Trevoh Chalobah,Chelsea,25,D (CR),20.1,41.3
Kevin De Bruyne,Man City,33,"M, AM (C)",20.1,76.6
Felipe Morato,Nottingham,23,D (CL),20.0,24.1
Antonín Kinský,Tottenham,22,GK,20.0,20.0
Oleksandr Zinchenko,Arsenal,28,D (L),19.9,48.9
Nathan Patterson,Everton,23,D (R),19.9,19.9
James McAtee,Man City,22,"AM (C), M (CR)",19.8,19.8
Mads Hermansen,Leicester,24,GK,19.8,19.8
Djed Spence,Tottenham,24,D (RL),19.8,22.5
Jake O'Brien,Everton,23,D (CR),19.7,20.0
Marco Asensio,Aston Villa,29,"F (CR), M (C)",19.6,38.9
Carlos Alcaraz,Everton,22,M (CL),19.6,20.1
Dara O'Shea,Ipswich Town,26,D (CR),19.5,22.8
Jack Clarke,Ipswich Town,24,"F, M (L)",19.4,19.7
Romain Esse,C. Palace,19,"M (R), AM (C)",19.4,19.4
Lewis Cook,B'mouth,28,"M, DM (C), D (R)",19.3,21.2
Ederson,Man City,31,GK,19.1,81.1
Konstantinos Mavropanos,West Ham United,27,D (C),19.1,25.6
Andreas Pereira,Fulham,29,"M, DM, AM (C)",19.0,19.2
Nicolás Domínguez,Nottingham,26,"M, DM (C)",18.8,18.8
Ola Aina,Nottingham,28,D (RL),18.8,19.3
Aaron Ramsdale,Southampton,26,GK,18.7,48.5
Toti Gomes,Wolverhampton,26,D (CL),18.6,18.6
Armando Broja,Everton,23,F (C),18.6,41.7
Cameron Archer,Southampton,23,F (C),18.6,18.6
Kamaldeen Sulemana,Southampton,23,"F, M (L)",18.5,21.4
Ryan Yates,Nottingham,27,"M, DM (C)",18.3,18.4
Marshall Munetsi,Wolverhampton,28,"M, DM (C)",18.3,18.3
Yehor Yarmoliuk,Brentford,21,"AM, M (C)",18.0,18.0
Emmanuel Agbadou,Wolverhampton,27,D (C),18.0,18.0
Jacob Murphy,Newcastle Utd.,30,"F (R), AM (L)",17.9,17.9
Issa Diop,Fulham,28,D (C),17.9,23.7
Dominic Calvert-Lewin,Everton,28,F (C),17.8,39.0
Jack Harrison,Everton,28,"F, M (R), AM (C)",17.7,37.0
Hee-chan Hwang,Wolverhampton,29,F (C),17.6,24.3
Raheem Sterling,Arsenal,30,"F, AM (R), M (L)",17.5,106.6
Emiliano Martínez,Aston Villa,32,GK,17.5,40.7
Luke Shaw,Man Utd,29,D (CL),17.5,40.1
Jota Silva,Nottingham,25,F (CR),17.4,17.4
Ramón Sosa,Nottingham,25,"F, M, AM (L)",17.4,17.4
Timothy Castagne,Fulham,29,D (R),17.4,35.0
Kalvin Phillips,Ipswich Town,29,"DM, M (C)",17.2,31.0
James Justin,Leicester,27,D (RL),17.0,22.2
Oliver Skipp,Leicester,24,"DM, M (C)",17.0,29.8
Mats Wieffer,Brighton,25,"M, DM (C)",16.8,23.6
Youssef Chermiti,Everton,20,F (C),16.8,16.8
Marc Guiu,Chelsea,19,F (C),16.7,16.7
Caleb Okoli,Leicester,23,D (CL),16.7,26.0
Kyle Walker-Peters,Southampton,28,"D, M (R)",16.6,21.6
Albert Grønbæk,Southampton,23,"AM, M (C)",16.6,19.8
Enes Ünal,B'mouth,27,F (C),16.4,26.5
Gonçalo Guedes,Wolverhampton,28,F (CL),16.2,41.7
Ryan Christie,B'mouth,30,DM (C),16.2,17.9
Yukinari Sugawara,Southampton,24,D (R),15.7,16.4
Chris Richards,C. Palace,25,D (CRL),15.7,16.0
Tyrique George,Chelsea,19,F (L),15.7,15.7
Matheus França,C. Palace,21,AM (C),15.5,19.9
Jens Cajuste,Ipswich Town,25,"DM, M (C)",15.5,15.5
Luis Sinisterra,B'mouth,25,"F, M (L)",15.4,17.8
Boubakary Soumaré,Leicester,26,"DM, M (C)",15.4,25.0
Armel Bella-Kotchap,Southampton,23,D (C),15.4,23.1
Mathis Amougou,Chelsea,19,M (C),15.3,15.3
Thomas Partey,Arsenal,31,"DM, M (C), D (R)",15.2,31.1
Nasser Djiga,Wolverhampton,22,D (C),14.7,14.7
Rico Henry,Brentford,27,"D, M (L)",14.7,34.6
Mathias Jensen,Brentford,29,M (C),14.7,21.2
Daichi Kamada,C. Palace,28,"AM, M (C)",14.6,29.5
Harry Wilson,Fulham,28,"F, M (R)",14.5,27.5
Christian Nørgaard,Brentford,31,"DM, M (C)",14.4,14.9
Julian Araujo,B'mouth,23,D (R),14.3,14.3
Sammie Szmodics,Ipswich Town,29,"AM (C), M (L)",14.1,14.5
Kenny Tete,Fulham,29,D (R),14.0,16.1
Tommy Doyle,Wolverhampton,23,M (C),14.0,14.0
Patson Daka,Leicester,26,F (C),14.0,33.3
Tim Iroegbunam,Everton,21,"M, DM (C)",13.8,15.3
Harry Maguire,Man Utd,32,D (C),13.7,59.5
Bernd Leno,Fulham,33,GK,13.7,41.5
Guido Rodríguez,West Ham United,31,"DM, M (C)",13.6,20.5
Lucas Digne,Aston Villa,31,D (L),13.6,45.4
Jefferson Lerma,C. Palace,30,"DM, M (C)",13.6,
Mark Flekken,Brentford,31,GK,13.6,13.9
Tariq Lamptey,Brighton,24,D (RL),13.6,15.6
Victor Lindelöf,Man Utd,30,D (C),13.5,56.5
Niclas Füllkrug,West Ham United,32,F (C),13.4,22.7
Altay Bayındır,Man Utd,27,GK,13.2,13.2
Aaron Anselmino,Chelsea,20,D (C),13.2,13.6
Julio Soler,B'mouth,20,D (L),13.2,14.9
Pedro Lima,Wolverhampton,18,D (R),13.1,13.1
Carlos Forbs,Wolverhampton,21,F (RL),13.0,13.0
David Brooks,B'mouth,27,"F, M (R)",13.0,13.0
Jan Bednarek,Southampton,29,D (C),12.9,37.6
David Datro Fofana,Chelsea,22,F (C),12.9,19.3
Stephy Mavididi,Leicester,26,"F, M (L)",12.9,16.5
Paul Onuachu,Southampton,30,F (C),12.7,18.0
Ben Johnson,Ipswich Town,25,"D, M (R)",12.6,17.4
Emerson Palmieri,West Ham United,30,"D, M (L)",12.6,14.7
Yerson Mosquera,Wolverhampton,24,D (CRL),12.4,12.4
Odsonne Édouard,Leicester,27,F (C),12.4,21.7
Adam Webster,Brighton,30,D (C),12.2,28.0
Saša Lukić,Fulham,28,"M, DM (C)",12.1,15.9
İlkay Gündoğan,Man City,34,"M, DM (C)",12.1,47.2
Kepa Arrizabalaga,B'mouth,30,GK,12.0,59.2
Alphonse Aréola,West Ham United,32,GK,11.8,24.0
Ryan Sessegnon,Fulham,24,"D, M (L)",11.8,44.3
James Tarkowski,Everton,32,D (C),11.8,33.6
Nick Pope,Newcastle Utd.,33,GK,11.7,30.1
Casemiro,Man Utd,33,"DM, M (C)",11.6,83.7
Harry Winks,Leicester,29,"DM, M (C)",11.4,27.5
Eiran Joe Cashin,Brighton,23,D (CL),11.3,11.3
James Ward-Prowse,West Ham United,30,"M, DM (C)",11.2,48.1
Santiago Bueno,Wolverhampton,26,D (CR),11.2,16.5
Will Hughes,C. Palace,30,M (C),11.1,14.3
Wataru Endo,Liverpool,32,"DM, M (C)",11.1,17.2
Álex Moreno,Nottingham,31,D (L),11.0,17.7
Fabian Schär,Newcastle Utd.,33,D (C),11.0,11.0
Harry Souttar,Leicester,26,D (C),10.8,13.9
Toby Collyer,Man Utd,21,DM (C),10.7,10.7
Ben Godfrey,Ipswich Town,27,D (CRL),10.5,30.0
Andrés García,Aston Villa,22,D (R),10.4,10.4
William Osula,Newcastle Utd.,21,F (C),10.3,11.9
Timo Werner,Tottenham,29,"F, M, AM (L)",10.3,91.3
Arijanet Murić,Ipswich Town,26,GK,10.1,12.1
Chiedozie Ogbene,Ipswich Town,28,"F, M (R), AM (C)",9.8,9.8
Conor Chaplin,Ipswich Town,28,"M, AM (C)",9.8,9.8
Jack Hinshelwood,Brighton,20,"D (R), DM (C)",9.2,9.2
Flynn Downes,Southampton,26,"DM, M (C)",9.2,9.2
Dan Burn,Newcastle Utd.,32,D (CL),9.1,16.5
Juan Larios,Southampton,21,D (L),9.1,9.2
Matz Sels,Nottingham,33,GK,9.1,11.8
Vítězslav Jaroš,Liverpool,23,GK,8.9,8.9
Oliver Scarles,West Ham United,19,"D, M (L)",8.7,8.7
José Sá,Wolverhampton,32,GK,8.5,33.6
Yunus Konak,Brentford,19,"DM, M (C)",8.4,8.6
Nélson Semedo,Wolverhampton,31,"D, M (R)",8.4,27.5
Will Smallbone,Southampton,25,"M, AM (C)",8.4,9.8
Rodrigo Muniz,Fulham,24,F (C),8.2,9.8
Adama Traoré,Fulham,29,"F, M (R)",8.0,25.7
Tyler Morton,Liverpool,22,"DM, M (C)",7.9,10.5
Matt Targett,Newcastle Utd.,29,D (L),7.9,34.9
Sam Johnstone,Wolverhampton,32,GK,7.9,9.0
Jorge Cuenca,Fulham,25,D (CL),7.8,20.4
Luke Thomas,Leicester,23,D (L),7.8,15.8
Chris Wood,Nottingham,33,F (C),7.8,22.6
George Hirst,Ipswich Town,26,F (C),7.7,7.7
Ethan Pinnock,Brentford,31,D (C),7.6,17.9
Daniel Jebbison,B'mouth,21,F (C),7.5,7.6
Kieran Tierney,Arsenal,27,D (L),7.4,63.6
Lewis Dunk,Brighton,33,D (C),7.4,27.5
Ross Barkley,Aston Villa,31,M (C),7.3,41.4
Solly March,Brighton,30,"M, AM (R)",7.3,21.4
Callum Wilson,Newcastle Utd.,33,F (C),7.3,20.9
Matt Turner,C. Palace,30,GK,7.0,7.0
Justin Devenny,C. Palace,21,M (C),6.9,6.9
Joe Aribo,Southampton,28,M (C),6.9,12.4
Harrison Reed,Fulham,30,"M, DM (C)",6.7,11.9
Ayden Heaven,Man Utd,19,D (CL),6.7,6.7
Andy Irving,West Ham United,24,M (C),6.5,6.7
Joachim Kayi Sanda,Southampton,18,D (CR),6.3,6.7
Saša Kalajdžić,Wolverhampton,27,F (C),6.3,16.4
Nathan Broadhead,Ipswich Town,27,M (L),6.1,6.1
Nathan Wood,Southampton,22,D (CL),6.1,6.5
Lamare Bogarde,Aston Villa,21,M (C),6.0,7.2
Danny Welbeck,Brighton,34,F (C),6.0,65.9
Abdoulaye Doucouré,Everton,32,"M, AM (C)",5.8,16.1
Stefan Ortega,Man City,32,GK,5.8,7.4
Tyrone Mings,Aston Villa,32,D (C),5.8,31.4
Joël Veltman,Brighton,33,D (CR),5.7,13.7
Ben Davies,Tottenham,32,D (CL),5.6,41.8
Sergio Reguilón,Tottenham,28,"D, M (L)",5.6,35.5
Joshua Dasilva,Brentford,26,M (C),5.4,12.9
Jorginho,Arsenal,33,"DM, M (C)",5.3,38.6
Kieran Trippier,Newcastle Utd.,34,D (R),5.1,23.6
Raúl Jiménez,Fulham,33,F (C),5.1,37.0
Idrissa Gueye,Everton,35,"DM, M (C)",5.0,15.7
Dane Scarlett,Tottenham,21,F (C),4.9,5.2
Pablo Sarabia,Wolverhampton,32,"F (R), AM (C)",4.9,22.3
Vladimír Coufal,West Ham United,32,D (R),4.8,
Danny Ings,West Ham United,32,F (C),4.6,25.7
Odysseas Vlachodimos,Newcastle Utd.,31,GK,4.6,20.5
Matai Akinmboni,B'mouth,18,D (C),4.6,4.8
Carlos Miguel,Nottingham,26,GK,4.4,5.3
Carl Rushworth,Brighton,23,GK,4.4,7.8
Joshua King,Fulham,18,M (C),4.4,4.7
Eric da Silva Moreira,Nottingham,19,"M, AM (R)",4.3,4.5
Axel Tuanzebe,Ipswich Town,27,D (CR),4.2,4.6
Christian Eriksen,Man Utd,33,"M, DM (C)",4.2,70.6
Matt Doherty,Wolverhampton,33,D (R),4.2,20.6
